검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572233&keyword=MBC,MBC 썸네일 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,미친놈 ㅋㅋㅋㅋㅋㅋㅋ,2025-08-01,Scarlett,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572114&keyword=MBC,MBC 썸네일 근황 ㅋㅋㅋ,역쉬 mbc ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-08-01,바람막이쪼아,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572080&keyword=MBC,[특검 공식브리핑] 속옷만 입고 누워서 안 가!,,2025-08-01,출손유녹진연소손,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572070&keyword=MBC,MBC 썸네일 맵네요ㅋㅋㅋㅋㅋㅋㅋㅋ,,2025-08-01,윤가이,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571862&keyword=MBC,"윤 구치소 체포 무산, 완강히 저항",그냥 강제로 질질 끌어내야 하는거 아닌지?,2025-08-01,소울랩퍼,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571807&keyword=MBC,오늘도 날뛰는 법사위 내란당 놈들 ㅉㅉㅉ,이춘석 법사위원장 불안하다고 했었는데 칼뺄때는 빼시는군요 보기 좋습니다 ㅎㅎ,2025-08-01,프리스탈킴,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571784&keyword=MBC,먼저 맞은 물가 '폭탄' 화장품 '사재기,이미 학용품과 의류 등 수입품 비중이 높은 품목은 가격 상승을 겪고 있습니다.,2025-08-01,루이렉스,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571518&keyword=MBC,[속보] 윤석열 체포영장 집행 무산.. 특검팀 서울구치소에서 철수,내란범을 체포도 못하고 이게 대체...,2025-08-01,윤거니깜빵가자,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571469&keyword=MBC,"미국, 캐나다 관세 25%에서  35%로 인상트럼프 조치에 보복관세로 대응",뭐 그렇다고 합니다 ....,2025-08-01,GTX880,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571397&keyword=MBC,정청래 20여개 여론조사서 다 이겨,"정청래 더불어민주당 의원은 8·2 전당대회를 하루 앞둔 1일 “전당대회 관련해서 20여개 안팎의 여론조사가 있었다. 한 번도 제가 진 적이 없다”고 밝혔다. 당권 주자인 정 의원은 이날 오전 MBC 라디오 ‘김종배의 시선집중’에 나와 ‘판세를 어떻게 분석하고 있나’라는 물음에 이같이 답하며 “제가 이기는 여론조사가 다였고 15%, 20%(포인트) 정도의 격차로 계속 유지가 되고 있다”고 말했다. 그는 이어 “그게 여론조사 민주당 지지층인데, 실제로 투표하는 것은 권리당원들이다. 그 결과로 영남과 충청권(순회 경선)에서 25%(포인트) 차이로 제가 이기지 않았나”라며 “일반적인 여론조사보다는 5% 이상 더 계산해야 되는 것 아니냐 그렇게 본다”고 했다.",2025-08-01,,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571291&keyword=MBC,"권성동, 대선후보+공무원+강원랜드 채용비리 끝판왕~",좀벌레 같은 놈~~,2025-08-01,onlyonly1,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571226&keyword=MBC,MBC 뉴스데스크 클로징,,2025-08-01,Elfin,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571214&keyword=MBC,MBC)내란수괴체포저지 배후 ㄷ,,2025-08-01,Scarlett,2025-08-01
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571195&keyword=MBC,MBC 단독 터졌네요 ㄷㄷㄷㄷ,,2025-08-01,lfsate,2025-08-01
